1,v01,JGD2000,2016/8/5 15:30,2.01608E+13,99,[gis][pga][al][ah][sinj],jshis,M1,4530,
2,130.859376,30.435416,130.8625,30.4375,4.3,76.814151,4530562824,0,0,0
2,130.853126,30.4375,130.85625,30.439583,4.3,74.007173,4530562832,0,0,0
2,130.853126,30.439583,130.85625,30.441666,4.3,89.566846,4530562834,0,0,0
2,130.85625,30.4375,130.859376,30.439583,4.3,82.778621,4530562841,0,0,0
2,130.859376,30.4375,130.8625,30.439583,4.3,91.550069,4530562842,0,0,0
2,130.85625,30.439583,130.859376,30.441666,4.3,79.971642,4530562843,0,0,0
2,130.859376,30.439583,130.8625,30.441666,4.3,88.74309,4530562844,0,0,0
2,130.862499,30.433333,130.865626,30.435416,4.3,87.568822,4530562911,0,0,0
2,130.865626,30.433333,130.868751,30.435416,4.3,77.973618,4530562912,0,0,0
2,130.862499,30.435416,130.865626,30.4375,4.3,85.585599,4530562913,0,0,0
2,130.865626,30.435416,130.868751,30.4375,4.3,75.990395,4530562914,0,0,0
2,130.868751,30.433333,130.871875,30.435416,4.3,86.745066,4530562921,0,0,0
2,130.862499,30.4375,130.865626,30.439583,4.3,81.954865,4530562931,0,0,0
2,130.865626,30.4375,130.868751,30.439583,4.3,90.726313,4530562932,0,0,0
2,130.862499,30.439583,130.865626,30.441666,4.3,79.147886,4530562933,0,0,0
2,130.865626,30.439583,130.868751,30.441666,4.3,87.919334,4530562934,0,0,0
2,130.868751,30.4375,130.871875,30.439583,4.3,81.131109,4530562941,0,0,0
2,130.868751,30.439583,130.871875,30.441666,4.3,78.324131,4530562943,0,0,0
2,130.871875,30.439583,130.875001,30.441666,4.3,87.095579,4530562944,0,0,0
